Stock Symbol,Defensive Value,Defensive,Enterprising Value,Enterprising,Overall Value
BG,5,1101011,7,1111111,12
NUE,6,1111011,6,1111011,12
PHM,6,1111011,6,1111011,12
TDG,5,1111001,7,1111111,12
COF,5,1011011,6,1011111,11
GL,5,1011011,6,1011111,11
SNA,5,1111010,6,1111110,11
AMP,5,1111010,5,1111010,10
APH,4,1111000,6,1111110,10
APTV,4,1011001,6,1111011,10
BAC,5,1011011,5,1011011,10
BALL,4,1011001,6,1011111,10
BLK,4,1111000,6,1111110,10
CMCSA,4,1011001,6,1011111,10
DHI,5,1101011,5,1101011,10
DOV,4,1111000,6,1111110,10
FAST,4,1111000,6,1111110,10
FITB,5,1011011,5,1011110,10
FOX,4,1111000,6,1111110,10
FOXA,4,1111000,6,1111110,10
GRMN,4,1111000,6,1111110,10
GS,4,1011010,6,1111110,10
GWW,4,1111000,6,1111110,10
HBAN,5,1011011,5,1011011,10
HRL,4,1111000,6,1111110,10
MAS,4,1011001,6,1111011,10
MCHP,4,1111000,6,1111110,10
META,4,1111000,6,1111110,10
MKTX,4,1111000,6,1111110,10
MNST,4,1111000,6,1111110,10
MPWR,4,1111000,6,1111110,10
MS,5,1111010,5,1111010,10
MSCI,4,1011001,6,1011111,10
NKE,4,1111000,6,1111110,10
NVR,4,1111000,6,1111110,10
POOL,4,1111000,6,1111110,10
RF,5,1011011,5,1011011,10
RJF,4,1111000,6,1111110,10
RMD,4,1111000,6,1111110,10
RVTY,4,1111000,6,1111110,10
STE,4,1111000,6,1111110,10
TECH,4,1111000,6,1111110,10
TROW,4,1111000,6,1111110,10
TXN,4,1111000,6,1111110,10
WELL,4,1111000,6,1111110,10
WST,4,1111000,6,1111110,10
YUM,4,1011001,6,1011111,10
A,4,1111000,5,1111010,9
ABT,3,1011000,6,1111110,9
ADI,3,1011000,6,1111110,9
AMAT,4,1111000,5,1111010,9
ANET,4,1111000,5,1110110,9
ANSS,4,1111000,5,1110110,9
AOS,3,1011000,6,1111110,9
ATO,3,1011000,6,1111110,9
BEN,4,1111000,5,1111010,9
BF-B,4,1111000,5,1111010,9
BWA,3,1011000,6,1111110,9
CBOE,3,1011000,6,1111110,9
CHD,3,1011000,6,1111110,9
COO,3,1011000,6,1111110,9
CTAS,3,1011000,6,1111110,9
CVS,3,1001001,6,1011111,9
DECK,4,1111000,5,1110110,9
EMN,3,1011000,6,1111110,9
EMR,3,1011000,6,1111110,9
EPAM,4,1111000,5,1110110,9
ETN,3,1011000,6,1111110,9
EXPD,3,1011000,6,1111110,9
FICO,3,1011000,6,1111110,9
FMC,4,1001011,5,1101011,9
GPN,4,1011001,5,1011110,9
HUBB,3,1011000,6,1111110,9
HUM,3,1011000,6,1111110,9
IP,3,1011000,6,1111110,9
IPG,4,1011010,5,1011110,9
IRM,4,1011001,5,1011011,9
ISRG,4,1111000,5,1110110,9
KMX,4,1111000,5,1110110,9
L,4,1001011,5,1001111,9
LEN,4,1111000,5,1111010,9
LRCX,4,1111000,5,1111010,9
MDT,3,1011000,6,1111110,9
MTD,4,1011001,5,1010111,9
NVDA,4,1111000,5,1111010,9
NXPI,4,1111000,5,1111010,9
ON,4,1111000,5,1110110,9
PFE,4,1011010,5,1011110,9
QCOM,3,1101000,6,1111110,9
ROST,3,1011000,6,1111110,9
SMCI,4,1111000,5,1110110,9
SNPS,4,1111000,5,1110110,9
SYK,3,1011000,6,1111110,9
TDY,4,1111000,5,1110110,9
TFX,4,1111000,5,1111010,9
TRV,4,1011010,5,1011110,9
ULTA,3,1011000,6,1111110,9
VLO,4,1001011,5,1101011,9
VZ,4,1011010,5,1011110,9
WAT,4,1111000,5,1110110,9
XYL,3,1011000,6,1111110,9
ZTS,3,1011000,6,1111110,9
AAPL,3,1011000,5,1011110,8
ACGL,4,1001011,4,1001011,8
ACN,3,1011000,5,1011110,8
ADBE,3,1011000,5,1011110,8
ADM,3,1011000,5,1011110,8
AEE,3,1011000,5,1011110,8
AEP,3,1011000,5,1011110,8
AFL,4,1001011,4,1101010,8
AIZ,3,1011000,5,1011110,8
AMCR,3,1011000,5,1011110,8
AMD,3,1101000,5,1110110,8
AMGN,3,1011000,5,1011110,8
AMT,3,1011000,5,1011110,8
APD,3,1011000,5,1011110,8
AVB,3,1011000,5,1011110,8
AXP,3,1011000,5,1011110,8
BAX,4,1001011,4,1001011,8
BDX,3,1011000,5,1011110,8
BR,3,1011000,5,1011110,8
BRO,3,1011000,5,1011110,8
C,4,1001011,4,1001011,8
CAT,3,1001010,5,1011110,8
CB,3,1011000,5,1011110,8
CDNS,4,1111000,4,1110010,8
CE,3,1011000,5,1011110,8
CF,4,1101010,4,1101010,8
CFG,3,1011000,5,1011110,8
CHRW,3,1011000,5,1011110,8
CI,3,1011000,5,1011110,8
CMG,3,1011000,5,1110110,8
CMI,3,1011000,5,1011110,8
CMS,3,1011000,5,1011110,8
COST,3,1011000,5,1011110,8
CSGP,3,1101000,5,1110110,8
CSX,3,1011000,5,1011110,8
DE,4,1101010,4,1101010,8
DFS,3,1011000,5,1011110,8
DHR,3,1011000,5,1011110,8
DLR,3,1011000,5,1011110,8
DPZ,3,1011000,5,1011110,8
DTE,3,1011000,5,1011110,8
DUK,3,1011000,5,1011110,8
DVA,4,1011010,4,1010110,8
DVN,4,1001011,4,1001011,8
EG,3,1011000,5,1011110,8
EL,3,1011000,5,1011110,8
ELV,3,1011000,5,1011110,8
EOG,3,1101000,5,1101110,8
EQIX,3,1011000,5,1011110,8
EQR,3,1011000,5,1011110,8
ERIE,3,1011000,5,1011110,8
ESS,3,1011000,5,1011110,8
EVRG,3,1011000,5,1011110,8
F,4,1001011,4,1001011,8
FANG,4,1001011,4,1001011,8
FCX,3,1101000,5,1111010,8
FDX,3,1011000,5,1011110,8
FRT,3,1011000,5,1011110,8
GD,3,1011000,5,1011110,8
GIS,3,1011000,5,1011110,8
HAL,3,1101000,5,1101110,8
HD,3,1011000,5,1011110,8
HII,3,1011000,5,1011110,8
HON,3,1011000,5,1011110,8
HWM,3,1101000,5,1111010,8
ICE,3,1011000,5,1011110,8
INTU,3,1011000,5,1011110,8
INVH,3,1101000,5,1111010,8
IT,3,1011000,5,1011110,8
JBHT,3,1011000,5,1011110,8
JBL,4,1011010,4,1011010,8
JKHY,3,1011000,5,1011110,8
JNPR,3,1011000,5,1011110,8
K,3,1011000,5,1011110,8
KMB,3,1011000,5,1011110,8
LH,3,1011000,5,1011110,8
LHX,3,1011000,5,1011110,8
LIN,3,1011000,5,1011110,8
LNT,3,1011000,5,1011110,8
LOW,3,1011000,5,1011110,8
LULU,3,1011000,5,1110110,8
LYB,3,1011000,5,1111010,8
MA,3,1011000,5,1011110,8
MAA,3,1011000,5,1011110,8
MCD,3,1011000,5,1011110,8
MCO,3,1011000,5,1011110,8
MDLZ,3,1011000,5,1011110,8
MET,3,1011000,5,1111010,8
MMC,3,1011000,5,1011110,8
MOS,4,1001011,4,1001011,8
MRK,3,1011000,5,1011110,8
MSFT,3,1011000,5,1011110,8
MTB,3,1011000,5,1011110,8
MTCH,3,1101000,5,1111010,8
NDAQ,3,1011000,5,1011110,8
NEE,3,1011000,5,1011110,8
NOC,3,1011000,5,1011110,8
NSC,3,1011000,5,1011110,8
NTAP,3,1011000,5,1011110,8
